             x             y             z          prec          calc          diff    n loc
  1.000000e+00  2.500000e+00  1.250000e+00  2.000000e+00  2.000000e+00  8.415491e-14   60 border
  1.000000e+00  2.500000e+00  1.250000e+00  5.000000e+00  5.000000e+00  5.506706e-14   61 border
  2.500000e+00  2.500000e+00  1.250000e+00  2.000000e+00  2.000000e+00  2.833289e-13   62 inner
  2.500000e+00  2.500000e+00  1.250000e+00  5.000000e+00  5.000000e+00  7.016610e-14   63 inner
  4.000000e+00  2.500000e+00  1.250000e+00  2.000000e+00  2.000000e+00  4.267697e-13   64 inner
  4.000000e+00  2.500000e+00  1.250000e+00  5.000000e+00  5.000000e+00  1.696421e-13   65 inner
  5.500000e+00  2.500000e+00  1.250000e+00  2.000000e+00  2.000000e+00  3.819167e-13   66 inner
  5.500000e+00  2.500000e+00  1.250000e+00  5.000000e+00  5.000000e+00  2.122746e-13   67 inner
  7.000000e+00  2.500000e+00  1.250000e+00  2.000000e+00  2.000000e+00  9.015011e-14   68 border
  7.000000e+00  2.500000e+00  1.250000e+00  5.000000e+00  5.000000e+00  1.687539e-14   69 border
  1.000000e+00  4.000000e+00  1.250000e+00  2.000000e+00  2.000000e+00  1.658673e-13   70 border
  1.000000e+00  4.000000e+00  1.250000e+00  5.000000e+00  5.000000e+00  1.021405e-13   71 border
  2.500000e+00  4.000000e+00  1.250000e+00  2.000000e+00  2.000000e+00  2.216005e-13   72 inner
  2.500000e+00  4.000000e+00  1.250000e+00  5.000000e+00  5.000000e+00  2.788880e-13   73 inner
  4.000000e+00  4.000000e+00  1.250000e+00  2.000000e+00  2.000000e+00  8.215650e-14   74 inner
  4.000000e+00  4.000000e+00  1.250000e+00  5.000000e+00  5.000000e+00  2.033929e-13   75 inner
  5.500000e+00  4.000000e+00  1.250000e+00  2.000000e+00  2.000000e+00  3.201883e-13   76 inner
  5.500000e+00  4.000000e+00  1.250000e+00  5.000000e+00  5.000000e+00  5.817569e-13   77 inner
  7.000000e+00  4.000000e+00  1.250000e+00  2.000000e+00  2.000000e+00  1.620926e-13   78 border
  7.000000e+00  4.000000e+00  1.250000e+00  5.000000e+00  5.000000e+00  4.263256e-14   79 border
  1.000000e+00  5.500000e+00  1.250000e+00  2.000000e+00  2.000000e+00  2.309264e-14   80 border
  1.000000e+00  5.500000e+00  1.250000e+00  5.000000e+00  5.000000e+00  7.993606e-15   81 border
  2.500000e+00  5.500000e+00  1.250000e+00  2.000000e+00  2.000000e+00  6.066259e-13   82 inner
  2.500000e+00  5.500000e+00  1.250000e+00  5.000000e+00  5.000000e+00  1.598721e-13   83 inner
  4.000000e+00  5.500000e+00  1.250000e+00  2.000000e+00  2.000000e+00  3.859135e-13   84 inner
  4.000000e+00  5.500000e+00  1.250000e+00  5.000000e+00  5.000000e+00  3.037570e-13   85 inner
  5.500000e+00  5.500000e+00  1.250000e+00  2.000000e+00  2.000000e+00  5.826450e-13   86 inner
  5.500000e+00  5.500000e+00  1.250000e+00  5.000000e+00  5.000000e+00  2.851053e-13   87 inner
  7.000000e+00  5.500000e+00  1.250000e+00  2.000000e+00  2.000000e+00  1.116884e-13   88 border
  7.000000e+00  5.500000e+00  1.250000e+00  5.000000e+00  5.000000e+00  9.769963e-15   89 border
  1.000000e+00  7.000000e+00  1.250000e+00  2.000000e+00  2.000000e+00  7.105427e-15   90 border
  1.000000e+00  7.000000e+00  1.250000e+00  5.000000e+00  5.000000e+00  8.881784e-16   91 border
  2.500000e+00  7.000000e+00  1.250000e+00  2.000000e+00  2.000000e+00  5.839773e-14   92 border
  2.500000e+00  7.000000e+00  1.250000e+00  5.000000e+00  5.000000e+00  4.884981e-14   93 border
  4.000000e+00  7.000000e+00  1.250000e+00  2.000000e+00  2.000000e+00  2.136069e-13   94 border
  4.000000e+00  7.000000e+00  1.250000e+00  5.000000e+00  5.000000e+00  1.598721e-14   95 border
  5.500000e+00  7.000000e+00  1.250000e+00  2.000000e+00  2.000000e+00  1.141309e-13   96 border
  5.500000e+00  7.000000e+00  1.250000e+00  5.000000e+00  5.000000e+00  2.664535e-15   97 border
  7.000000e+00  7.000000e+00  1.250000e+00  2.000000e+00  2.000000e+00  7.327472e-15   98 border
  7.000000e+00  7.000000e+00  1.250000e+00  5.000000e+00  5.000000e+00  1.154632e-14   99 border
  1.000000e+00  1.000000e+00  1.500000e+00  2.000000e+00  2.000000e+00  7.549517e-15  100 border
  1.000000e+00  1.000000e+00  1.500000e+00  5.000000e+00  5.000000e+00  1.776357e-14  101 border
  2.500000e+00  1.000000e+00  1.500000e+00  2.000000e+00  2.000000e+00  4.440892e-15  102 border
  2.500000e+00  1.000000e+00  1.500000e+00  5.000000e+00  5.000000e+00  6.661338e-14  103 border
  4.000000e+00  1.000000e+00  1.500000e+00  2.000000e+00  2.000000e+00  5.817569e-14  104 border
  4.000000e+00  1.000000e+00  1.500000e+00  5.000000e+00  5.000000e+00  2.327027e-13  105 border
  5.500000e+00  1.000000e+00  1.500000e+00  2.000000e+00  2.000000e+00  4.529710e-14  106 border
  5.500000e+00  1.000000e+00  1.500000e+00  5.000000e+00  5.000000e+00  1.065814e-14  107 border
  7.000000e+00  1.000000e+00  1.500000e+00  2.000000e+00  2.000000e+00  1.332268e-15  108 border
  7.000000e+00  1.000000e+00  1.500000e+00  5.000000e+00  5.000000e+00  1.421085e-14  109 border
  1.000000e+00  2.500000e+00  1.500000e+00  2.000000e+00  2.000000e+00  1.598721e-14  110 border
  1.000000e+00  2.500000e+00  1.500000e+00  5.000000e+00  5.000000e+00  5.240253e-14  111 border
  2.500000e+00  2.500000e+00  1.500000e+00  2.000000e+00  2.000000e+00  1.625367e-13  112 inner
  2.500000e+00  2.500000e+00  1.500000e+00  5.000000e+00  5.000000e+00  1.065814e-14  113 inner
  4.000000e+00  2.500000e+00  1.500000e+00  2.000000e+00  2.000000e+00  2.908784e-13  114 inner
  4.000000e+00  2.500000e+00  1.500000e+00  5.000000e+00  5.000000e+00  2.504663e-13  115 inner
  5.500000e+00  2.500000e+00  1.500000e+00  2.000000e+00  2.000000e+00  2.189360e-13  116 inner
  5.500000e+00  2.500000e+00  1.500000e+00  5.000000e+00  5.000000e+00  2.611245e-13  117 inner
  7.000000e+00  2.500000e+00  1.500000e+00  2.000000e+00  2.000000e+00  3.086420e-14  118 border
  7.000000e+00  2.500000e+00  1.500000e+00  5.000000e+00  5.000000e+00  7.105427e-14  119 border
  1.000000e+00  4.000000e+00  1.500000e+00  2.000000e+00  2.000000e+00  1.407763e-13  120 border
  1.000000e+00  4.000000e+00  1.500000e+00  5.000000e+00  5.000000e+00  3.197442e-14  121 border
  2.500000e+00  4.000000e+00  1.500000e+00  2.000000e+00  2.000000e+00  1.318945e-13  122 inner
  2.500000e+00  4.000000e+00  1.500000e+00  5.000000e+00  5.000000e+00  2.025047e-13  123 inner
  4.000000e+00  4.000000e+00  1.500000e+00  2.000000e+00  2.000000e+00  2.042810e-13  124 inner
  4.000000e+00  4.000000e+00  1.500000e+00  5.000000e+00  5.000000e+00  1.598721e-13  125 inner
  5.500000e+00  4.000000e+00  1.500000e+00  2.000000e+00  2.000000e+00  2.366995e-13  126 inner
  5.500000e+00  4.000000e+00  1.500000e+00  5.000000e+00  5.000000e+00  5.924150e-13  127 inner
  7.000000e+00  4.000000e+00  1.500000e+00  2.000000e+00  2.000000e+00  1.003642e-13  128 border
  7.000000e+00  4.000000e+00  1.500000e+00  5.000000e+00  5.000000e+00  3.010925e-13  129 border
  1.000000e+00  5.500000e+00  1.500000e+00  2.000000e+00  2.000000e+00  3.175238e-14  130 border
  1.000000e+00  5.500000e+00  1.500000e+00  5.000000e+00  5.000000e+00  1.953993e-14  131 border
  2.500000e+00  5.500000e+00  1.500000e+00  2.000000e+00  2.000000e+00  5.719869e-13  132 inner
  2.500000e+00  5.500000e+00  1.500000e+00  5.000000e+00  5.000000e+00  1.607603e-13  133 inner
  4.000000e+00  5.500000e+00  1.500000e+00  2.000000e+00  2.000000e+00  2.216005e-13  134 inner
  4.000000e+00  5.500000e+00  1.500000e+00  5.000000e+00  5.000000e+00  3.437250e-13  135 inner
  5.500000e+00  5.500000e+00  1.500000e+00  2.000000e+00  2.000000e+00  4.680700e-13  136 inner
  5.500000e+00  5.500000e+00  1.500000e+00  5.000000e+00  5.000000e+00  3.899103e-13  137 inner
  7.000000e+00  5.500000e+00  1.500000e+00  2.000000e+00  2.000000e+00  2.930989e-14  138 border
  7.000000e+00  5.500000e+00  1.500000e+00  5.000000e+00  5.000000e+00  1.421085e-14  139 border
  1.000000e+00  7.000000e+00  1.500000e+00  2.000000e+00  2.000000e+00  2.664535e-14  140 border
  1.000000e+00  7.000000e+00  1.500000e+00  5.000000e+00  5.000000e+00  5.329071e-15  141 border
  2.500000e+00  7.000000e+00  1.500000e+00  2.000000e+00  2.000000e+00  1.081357e-13  142 border
  2.500000e+00  7.000000e+00  1.500000e+00  5.000000e+00  5.000000e+00  8.881784e-16  143 border
  4.000000e+00  7.000000e+00  1.500000e+00  2.000000e+00  2.000000e+00  1.589839e-13  144 border
  4.000000e+00  7.000000e+00  1.500000e+00  5.000000e+00  5.000000e+00  9.858780e-14  145 border
  5.500000e+00  7.000000e+00  1.500000e+00  2.000000e+00  2.000000e+00  3.907985e-14  146 border
  5.500000e+00  7.000000e+00  1.500000e+00  5.000000e+00  5.000000e+00  3.730349e-14  147 border
  7.000000e+00  7.000000e+00  1.500000e+00  2.000000e+00  2.000000e+00  5.551115e-15  148 border
  7.000000e+00  7.000000e+00  1.500000e+00  5.000000e+00  5.000000e+00  3.552714e-15  149 border
  1.000000e+00  1.000000e+00  1.750000e+00  2.000000e+00  2.000000e+00  5.773160e-15  150 border
  1.000000e+00  1.000000e+00  1.750000e+00  5.000000e+00  5.000000e+00  2.486900e-14  151 border
  2.500000e+00  1.000000e+00  1.750000e+00  2.000000e+00  2.000000e+00  4.751755e-14  152 border
  2.500000e+00  1.000000e+00  1.750000e+00  5.000000e+00  5.000000e+00  4.529710e-14  153 border
  4.000000e+00  1.000000e+00  1.750000e+00  2.000000e+00  2.000000e+00  9.348078e-14  154 border
  4.000000e+00  1.000000e+00  1.750000e+00  5.000000e+00  5.000000e+00  8.082424e-14  155 border
  5.500000e+00  1.000000e+00  1.750000e+00  2.000000e+00  2.000000e+00  3.685940e-14  156 border
  5.500000e+00  1.000000e+00  1.750000e+00  5.000000e+00  5.000000e+00  4.263256e-14  157 border
  7.000000e+00  1.000000e+00  1.750000e+00  2.000000e+00  2.000000e+00  6.661338e-16  158 border
  7.000000e+00  1.000000e+00  1.750000e+00  5.000000e+00  5.000000e+00  8.881784e-16  159 border
  1.000000e+00  2.500000e+00  1.750000e+00  2.000000e+00  2.000000e+00  4.085621e-14  160 border
  1.000000e+00  2.500000e+00  1.750000e+00  5.000000e+00  5.000000e+00  2.575717e-14  161 border
  2.500000e+00  2.500000e+00  1.750000e+00  2.000000e+00  2.000000e+00  7.016610e-14  162 inner
  2.500000e+00  2.500000e+00  1.750000e+00  5.000000e+00  5.000000e+00  9.503509e-14  163 inner
  4.000000e+00  2.500000e+00  1.750000e+00  2.000000e+00  2.000000e+00  3.055334e-13  164 inner
  4.000000e+00  2.500000e+00  1.750000e+00  5.000000e+00  5.000000e+00  2.069456e-13  165 inner
  5.500000e+00  2.500000e+00  1.750000e+00  2.000000e+00  2.000000e+00  1.612044e-13  166 inner
  5.500000e+00  2.500000e+00  1.750000e+00  5.000000e+00  5.000000e+00  2.913225e-13  167 inner
  7.000000e+00  2.500000e+00  1.750000e+00  2.000000e+00  2.000000e+00  5.351275e-14  168 border
  7.000000e+00  2.500000e+00  1.750000e+00  5.000000e+00  5.000000e+00  2.309264e-14  169 border
  1.000000e+00  4.000000e+00  1.750000e+00  2.000000e+00  2.000000e+00  7.260859e-14  170 border
  1.000000e+00  4.000000e+00  1.750000e+00  5.000000e+00  5.000000e+00  8.437695e-14  171 border
  2.500000e+00  4.000000e+00  1.750000e+00  2.000000e+00  2.000000e+00  1.665335e-13  172 inner
  2.500000e+00  4.000000e+00  1.750000e+00  5.000000e+00  5.000000e+00  2.655653e-13  173 inner
  4.000000e+00  4.000000e+00  1.750000e+00  2.000000e+00  2.000000e+00  1.603162e-13  174 inner
  4.000000e+00  4.000000e+00  1.750000e+00  5.000000e+00  5.000000e+00  2.007283e-13  175 inner
  5.500000e+00  4.000000e+00  1.750000e+00  2.000000e+00  2.000000e+00  2.464695e-13  176 inner
  5.500000e+00  4.000000e+00  1.750000e+00  5.000000e+00  5.000000e+00  4.680700e-13  177 inner
  7.000000e+00  4.000000e+00  1.750000e+00  2.000000e+00  2.000000e+00  3.974598e-14  178 border
  7.000000e+00  4.000000e+00  1.750000e+00  5.000000e+00  5.000000e+00  6.306067e-14  179 border
  1.000000e+00  5.500000e+00  1.750000e+00  2.000000e+00  2.000000e+00  6.972201e-14  180 border
  1.000000e+00  5.500000e+00  1.750000e+00  5.000000e+00  5.000000e+00  8.881784e-14  181 border
  2.500000e+00  5.500000e+00  1.750000e+00  2.000000e+00  2.000000e+00  5.915268e-13  182 inner
  2.500000e+00  5.500000e+00  1.750000e+00  5.000000e+00  5.000000e+00  2.255973e-13  183 inner
